nohup: ignoring input
Epoch~139->train_loss:1.0834, val_loss:1.1109, val_accu:0.2, lr:0.1027759462594986, conflict:28/139=0.2014
Epoch~140->train_loss:1.0832, val_loss:1.1106, val_accu:0.2, lr:0.10279884934425354, conflict:29/140=0.2071
Epoch~141->train_loss:1.0829, val_loss:1.1104, val_accu:0.2, lr:0.10282238572835922, conflict:29/141=0.2057
Epoch~142->train_loss:1.0827, val_loss:1.1102, val_accu:0.2, lr:0.10284698009490967, conflict:29/142=0.2042
Epoch~143->train_loss:1.0824, val_loss:1.1099, val_accu:0.2, lr:0.10287214815616608, conflict:29/143=0.2028
Epoch~144->train_loss:1.0822, val_loss:1.1097, val_accu:0.2, lr:0.10289791971445084, conflict:29/144=0.2014
Epoch~145->train_loss:1.0819, val_loss:1.1094, val_accu:0.2, lr:0.10292431712150574, conflict:29/145=0.2
Epoch~146->train_loss:1.0816, val_loss:1.1091, val_accu:0.2, lr:0.10295136272907257, conflict:29/146=0.1986
Epoch~147->train_loss:1.0813, val_loss:1.1089, val_accu:0.2, lr:0.10297907888889313, conflict:29/147=0.1973
Epoch~148->train_loss:1.0811, val_loss:1.1086, val_accu:0.2, lr:0.1030074805021286, conflict:30/148=0.2027
Epoch~149->train_loss:1.0808, val_loss:1.1083, val_accu:0.2, lr:0.10303658992052078, conflict:30/149=0.2013
Epoch~150->train_loss:1.0804, val_loss:1.108, val_accu:0.2, lr:0.10306643694639206, conflict:30/150=0.2
Epoch~151->train_loss:1.0801, val_loss:1.1077, val_accu:0.2, lr:0.10309704393148422, conflict:30/151=0.1987
Epoch~152->train_loss:1.0798, val_loss:1.1074, val_accu:0.2, lr:0.10312844812870026, conflict:30/152=0.1974
Epoch~153->train_loss:1.0795, val_loss:1.1071, val_accu:0.2, lr:0.10316067188978195, conflict:30/153=0.1961
Epoch~154->train_loss:1.0791, val_loss:1.1068, val_accu:0.2, lr:0.1031937450170517, conflict:30/154=0.1948
Epoch~155->train_loss:1.0788, val_loss:1.1064, val_accu:0.2, lr:0.10322770476341248, conflict:30/155=0.1935
